token;sentiment
['opryskliwy', 'i', 'nieco', 'bezczelny', 'kelner', ',', 'dość', 'drogo', ',', 'ale', 'to', 'samo', 'centrum', '.'];-1
[',', 'który', 'mnie', 'osobiście', 'bardzo', 'odpowiada'];1
[',', 'że', 'to', 'naprawdę', 'nieba', 'lny'];1
['chęci'];0
['do', 'tego', 'zapachu'];0
['bardzo', 'fajny', 'desing', 'butelki', '.'];0
['tymi', 'drobnymi', 'niedociągnięciami'];-1
['Euphoria'];0
['wyrazisty', ',', 'urokliwy', 'zapach', ',', 'który', 'po', 'naniesieniu', 'na', 'skórę', 'szyi', ',', 'czy', 'nadgarstków', 'długo', 'utrzymuje', 'się', 'na', 'ciele'];1
['dzień'];0
['sam'];0
['ogóle'];0
['duszące'];-1
['jedzenie', 'szału', 'niestety', 'nie', 'robi', ',', 'jest', 'po', 'prostu', 'przeciętne', ',', 'nie', 'wiem', 'czy', 'aż', 'tak', 'bardzo', 'meksykańskie', '.'];0
['Z', 'zewnątrz', 'sklep', 'wygląda', 'nawet', 'zachęcająco', ',', 'jednak', 'po', 'wejściu', 'ceny', 'odstraszają', ',', 'straszna', 'szkoda', '.'];-1
['nie', 'są'];0
['znana'];1
['pyszne'];0
['długi', 'czas'];0
['ma', 'w', 'sobie', 'pazur'];1
['fatalnie', ',', 'była', 'm', 'w', 'poleconym', 'pokoju'];0
['nie'];0
['trochę', 'suche'];-1
['wczoraj'];0
['.'];0
['swoim', 'rodzaju'];0
['względu', 'na', 'to'];0
['ojciec'];0
['różnymi'];0
['nie', 'spełnił', 'moich', 'oczekiwań'];-1
['śmiało'];0
['itd'];0
['w', 'końcu', 'się', 'zdecydowała', 'm', 'i', 'nie', 'żałuję'];1
['słaba'];0
['sobie'];0
['się'];0
['dodam', 'jeszcze', 'że', 'ceny', 'są', 'z', 'kosmosu', 'a', 'porcje', 'mniejsze', 'więc', 'wole', 'wybrać', 'się', 'na', 'kebaba', 'dziękuje', 'i', 'nie', 'polecam'];-1
['długo'];0
[',', 'gdzie', 'spoczywa', 'serce', 'Chopina'];0
['który', 'cwiczy', 'pisanie'];0
['Tylko', 'tam'];0
"['moze', 'gaia', 'wypuści', 'jakieś', 'fajne', 'kolorki', 'na', 'lato', 'z', 'tego', 'modelu', 'no', 'i', 'o', 'dużej', 'miseczce', ';', 'p']";0
[','];0
['spotkanie', ',', 'pogawędkę', 'czy', 'też', 'wypicie', 'kawy', 'lub', 'szybki', 'lunch'];0
['je', 'parę', 'razy'];0
['prawdziwy'];1
['bardzo', 'dobry'];1
['uśmiechnięta'];0
['drugiej'];0
['przeprowadzonej'];0
['mi'];0
['Adama'];0
['przyczyną'];0
['w', 'dotyku'];0
"['ulatnia', 'się', 'bardzo', 'szybko', ',', 'jeśli', 'chodzi', 'o', 'stosunek', 'jakości', 'do', 'ceny', 'to', 'bardzo', 'słabo', ',', 'uważajcie', 'żeby', 'się', 'nie', 'naciąć', 'na', 'takie', '""', 'promocje', '""']";-1
['nie'];0
"['""']";0
['miejscem'];0
['do', 'nas'];0
['chodzę', 'do', 'wniosku', 'że'];0
['Zepter'];0
['żyrafy'];0
['agresywny', ',', 'przegadany', ','];-1
['.'];0
['nie'];0
[')'];0
['w', 'nim'];0
['ubogie', 'słownictwo', ',', 'papierowe', ',', 'pozbawione', 'minimalnego', 'rysu', 'psychologicznego', 'postaci', ',', 'fabuły'];-1
['lubisz', 'długie', 'wycieczki', 'piesze'];1
['nieestetyczne'];0
['jakimś', 'czasie', 'z', 'fajnej', 'konsystencji'];0
['Almi', 'Decor'];0
['ta'];0
['z', 'dań'];0
['subtelnie', 'unosząc'];0
['nie'];0
['zanim', 'nabędziesz', 'jednego', 'polecam', 'poczytać', 'co', 'piszą', 'właściciele', 'bo', 'szopy'];0
[','];0
['miłe', 'prezenty'];1
['barda'];0
['.'];0
['będę'];0
[','];0
['bardzo', 'ładne'];1
['mi', 'się', 'tam', 'nic', 'nie', 'podoba'];-1
['jeszcze'];0
['się'];0
['zapachowych'];0
['spódnica', 'szybko', 'się', 'rozciągnie', ',', 'ale', 'mam', 'ją', 'już', 'pół', 'roku', 'i', 'wszystko', 'jest', 'w', 'jak', 'najlepszym', 'porządku'];0
['sobie'];0
['nogach'];0
['który'];0
['razu'];0
['kiepskie'];0
['ten', 'sklep'];0
['przyszła', 'panna', 'młoda', 'była', 'bardzo', 'zadowolona'];1
['drugi', 'dzień'];0
['świetnie'];1
['tym'];0
['elegancką'];1
['skórę'];0
['jeszcze', 'bezczelnie'];-1
['się'];0
['lokal'];0
['woda', 'toaletowa', 'raczej', 'dla', 'starszych', 'panów', 'i', 'bardziej', 'statecznych', '.'];0
['te'];0
['dobrych'];1
['tego'];0
['ten', 'zapach'];0
['bardzo', 'oryginalna', 'woda', 'po', 'goleniu', 'dla', 'mężczyzn', '.'];0
['bardzo', 'fajna', 'woda', 'toaletowa', 'dla', 'mężczyzn'];1
['na', 'aukcji'];0
['bardziej', 'jesteśmy', 'pewni', ',', 'że', 'stworzony', 'wizerunek', 'to', 'tylko', 'miraż'];-1
['to', 'jakość', 'jedzenia'];0
['śmietany'];0
['pana', 'Sapryka'];0
['horrendalna'];-1
['-'];0
['Cena-', 'to'];0
['wcale'];0
['tych'];0
['stali'];0
['rzeczywistości'];0
['płacić', 'za', 'tak', 'bardzo', 'przeciętne', 'jedzenie'];0
['zawiodła', 'm', 'się', 'bardzo', ',', 'jak', 'dla', 'mnie', 'produkt', 'w', 'ogóle', 'nie', 'działa'];-1
['prostu'];0
['nie'];0
['mnie'];0
['bardzo', 'twardych'];0
['konto', 'od', 'czasów', 'synca'];0
['dobrze'];1
['nadaje', 'się', 'do', 'mycia', 'zarówno', 'rąk', 'jak', 'i', 'całego', 'ciała'];0
['przychodzi', 'później'];0
['zbyt', 'wiele', 'wątków'];0
['łądnie', 'wygląda'];1
['trasie', 'kolejowej', 'z', 'Piły', 'do', 'Chojnic'];0
['to'];0
[','];0
['tej'];0
['mocno'];0
['.'];0
['jakieś'];0
['.'];0
['taki'];0
['zapach', 'dość', 'lekki', '-', 'słodko', '-', 'kwaśny', '.'];0
['zimą'];0
['.'];0
['mimo', 'wszystko', 'było', 'warto'];1
['żal'];-1
['rzetelna', 'i', 'uczciwa'];1
['słabo', 'się', 'wchłaniają'];-1
['taki'];0
['chodzi', 'o', 'sam', 'klub', 'i', 'muzykę', 'ok'];1
['chyba', 'najbardziej'];0
['niezwykle'];1
['żadnych'];0
['szyja', '-', 'porazka', ',', 'jakkies', 'zamki', ',', 'rozchodzi', 'sie', 'to', '-', 'dla', 'praktytcznych'];-1
['Z', 'każdym', 'pobytem', 'w', 'Zakopanem'];0
['bukiet', 'w', 'niczym'];0
['nich'];0
['nawet'];0
['zapach', 'strasznie', 'mi', 'się', 'podoba'];1
['całym'];0
['ktoś', 'zjeść', 'coś'];0
['toaletowa'];0
[','];0
['przepiękny', 'kwiatowy', ',', 'aromat', 'utrzymuje', 'się', 'przez', 'bardzo', 'długo', '.'];0
['sobie'];0
['kosmetyki', 'z', 'tej', 'serii'];0
['dosyć'];0
['itp', '.', 'itd'];0
['może'];0
['mi'];0
['zapakowany', 'w', 'przyjemnej', 'dla', 'oka', 'błękitnej', 'butelce'];1
['zmysłowość'];0
['rzep'];0
['zawiodł', 'em', 'się'];-1
['zapach'];0
['to', 'bardzo', 'przeciętny', 'zapach', ',', 'nierozumiem', 'ekscytacji', 'niektórych', 'użytkowników', '.'];0
['nie', 'było', 'to', 'raczej', 'podczas', 'transportu', 'bo', 'w', 'folii', 'i', 'opakowaniu', 'nie', 'było', 'nic', 'co', 'ją', 'porysować'];0
['prawdopodobnie'];0
['głupi'];-1
[',', 'ochrona', 'podczas', 'zamkniętej', 'imprezy'];0
['dla', 'niej'];0
['sumie'];0
['polecam', 'produkt', ',', 'gdyż', 'nie', 'tylko', 'ładnie', 'się', 'prezentuje', 'pod', 'bluzeczką', ',', 'ale', 'także', 'bez', 'niej'];1
['tak'];0
['włosy', 'co', 'prawda', 'są', 'ładne', 'ale', 'łupież', 'to', 'chyba', 'się', 'tym', 'pseudo', '-', 'lekiem', 'żywi', ',', 'mój', 'lekki', 'łupież', 'zamienił', 'się', 'w', 'Tatry', 'zimą', '.'];-1
['stojącą', 'po', 'lewej', 'stronie', 'grupkę', 'ludzi', 'ubranych', 'w', 'proste', ',', 'długie', 'szaty', ',', 'którzy', 'wskazują', 'palcem', 'na', 'człowieka', 'pogrążonego', 'w', 'przyjacielskiej', 'pogawędce', 'z', 'diabłem'];0
['nie'];0
['nie'];0
['w', 'sobie'];0
['.'];0
['-', 'po', 'pierwsze', 'chłodzenie', 'w', 'czasie', 'mycia', 'głowy', 'mi', 'nie', 'odpowiada', ',', 'po', 'drugie', 'odkąd', 'zaczęła', 'm', 'używać', 'tego', 'szamponu', 'moje', 'włosy', 'zaczęły', 'się', 'przetłuszczać', 'i', 'na', 'drugi', 'dzień', 'są', 'oklapnięte', ',', 'poza', 'tym', 'jak', 'na', 'razie', 'nie', 'zauważyła', 'm', 'by', 'likwidował', 'łupież'];-1
['nie', 'nadający', 'się', 'do', 'użytku'];-1
['cwaniaków'];0
['miejscu', 'check', 'in'];0
['już', 'tego'];0
['.'];0
['również'];0
[','];0
[')'];0
['naprawdę', 'niemały'];0
['kilku', 'lat'];0
['makaron', 'z', 'owocami', 'morza'];0
['paniom', 'z', 'rozmiarem', '(', 'C', '/', 'd', ')', 'odradzam'];-1
['.'];0
['przekonani', 'o', 'dobrej', 'jakości', 'serwowanych', 'dań', ',', 'zamówili', 'śmy', 'te', 'burgery'];1
['.'];0
['do', 'tej', 'pory'];0
['burdelu'];0
['biustonosz', 'jest', 'faktycznie', 'bardzo', 'przydatny', 'do', 'kreacji', 'i', 'z', 'tzw', '.'];0
['.'];0
"['niezliczonymi', ',', 'kiczowatymi', '""', 'obrazami', '""', ',', 'pomysł', 'z', 'żabami', 'jest', 'dobry', ',', '.']";0
[',', 'na', 'zdjęciu', 'w', 'aukcji', 'jest', 'ładne', 'opakowanie', 'prezentowe'];1
['te', 'imprezy', 'do', 'czwartej', 'nad', 'ranem', 'psują', 'cały', 'klimat'];-1
['za'];0
['restauracji'];0
['stroje', 'kąpielowe', 'z', 'tej', 'kolekcji', 'mają', 'super', 'żywe', 'kolory', 'i', 'są', 'bardzo', 'ładne'];1
['żadnych'];0
['smaczniejsze'];0
['no', 'wiesz', ',', 'to', 'jest', 'przecież', 'ta', 'gąbka'];0
['nowe'];1
['-'];0
['wydajne', 'tak', 'jak', 'każde', 'perfumy', 'od', 'Versace'];1
['go'];0
['koszmarne'];0
['stanowczo', 'odradzam', ',', 'obsługa', 'klienta', 'poniżej', 'wszelkich', 'standardów', ',', 'nie', 'radzę', 'tracić', 'czasu', 'i', 'nerwów', '.'];-1
['faktycznie', 'bardzo', 'przydatny', 'do', 'kreacji', 'i', 'z', 'tzw'];1
"['przerażające', 'skalą', 'beznadziejności', 'i', 'tandety', 'jest', 'w', 'tej', 'książce', 'niemal', 'wszystko', ',', 'począwszy', 'od', 'genezy', 'powstania', 'tejże', '""', 'powieści', '""', ',', 'poprzez', 'wykreowanych', 'w', 'niej', 'bohaterów', 'i', '""', 'fabułę', '""', 'tegoż', '""', 'dzieła', '""', ',', 'na', 'stylu', 'literackim', 'i', 'pseudo', '-', 'pikantnych', 'opisach', 'wprost', 'z', 'buduaru', 'kończąc', '.']";-1
['obsługa', 'nieco', 'opieszała'];-1
[',', 'chyba', ',', 'że', 'ktoś', 'ma', 'naprawdę', 'mały', 'biust'];0
['!', '!', '!'];0
['nie'];0
['bardzo'];0
[','];0
['ich', 'produkcji', 'zawsze', 'świeże', 'i', 'niesamowicie', 'aromatyczne'];1
['pierwszej'];0
['wysoka'];0
['tirów'];0
['najbardziej'];0
['im'];0
['po', 'nim'];0
['centrum', 'dobry', ',', 'cena', 'zawyżona'];0
['mężczyzny', 'w', 'każdym', 'wieku'];0
['seksownym'];0
['jakby', 'z', 'taksówek', 'obsługi', 'klienta'];0
['która'];0
['kobiece'];0
['nie'];0
['zawsze'];0
['wykonania'];0
['tej', 'wody'];0
['ostateczna', 'miałkość', 'i', 'plastikowość', 'filmu', ',', 'z', 'jego', 'nielicznymi', 'przebłyskami', 'czegoś', 'dobrego', ',', 'ostatecznie', 'odbierają', 'mi', 'wszelkie', 'argumenty', 'na', 'jego', 'obronę', '.'];0
['jak', 'banda', 'niewychowanych', 'dzieciaków'];-1
['prany', 'w', 'pralce'];0
['się', 'męczyć', 'z', 'wydobyciem', 'produktu'];-1
['nie'];0
['tym'];0
['rachunku'];0
['zanim', 'ze', 'słabego', 'lokalu', 'ta', 'restauracja', 'przeobraziła', 'się', 'w', 'porządne', 'miejsce'];1
[','];0
['świeżości'];0
['klubie'];0
['-', 'porażka', ','];-1
['jednego', 'z', 'najlepszych', 'domów', 'mody'];1
['perfumach'];0
['woda', 'toaletowa', 'renomowanej', 'marki', 'jaką'];1
['perfumy'];0
['.'];0
['bardzo'];0
['prawdziwego'];1
['dla', 'mnie'];0
['może'];0
['jakaś'];0
['siebie'];0
['znam', 'z', 'dawnych', 'lat'];0
['samej'];0
['swego'];0
['na', 'ustach'];0
['niespotykany', 'kolor'];0
['.'];-1
['że', 'może', 'i', 'fryzjerka', 'jest', 'dobra'];1
['ostateczna', 'miałkość', 'i', 'plastikowość', 'filmu'];-1
['dopiero'];0
['bardzo', 'udany', 'model', ','];1
['posiadacze', 'fatalnych', 'brodzików'];0
['nigdy'];0
['także'];0
['swojej', 'lewej', 'strony'];0
['przystępnej'];1
['ciekawy', 'kształt'];1
['zwykle'];0
['mała'];0
['idealne', 'na', 'wieczorne', 'wyjścia', ',', 'a', 'także', 'na', 'codzień', '-', 'np', '.'];0
['chwilę'];0
['dobrze'];1
['kremu'];0
['moja'];0
['.'];0
[',', 'można', 'tutaj', 'zjeść', 'smaczny', 'lunch'];1
['tak', 'samo', 'jeżeli', 'wzrok', 'nie', 'jest', 'na', 'wysokości', 'ekranu', 'to', 'obraz', 'jest', 'szary', ',', 'wyblakły'];-1
['nawet'];0
['niesamowicie', 'aromatyczne'];1
['na', 'cały', 'dzień'];0
['płytkich'];0
['bardzo', 'uboga'];-1
['tak', 'długo', 'jak', 'docelową', 'publicznością', 'nie', 'jest', 'gimnazjum', 'bądź', 'pretensjonalne', 'dziewczyny', 'z', 'Tumblr', 'a', ',', 'tak', 'długo', 'nie', 'można', 'niczym', 'usprawiedliwić', 'takiego', 'grafomaństwa'];-1
['.'];0
['placu', 'wolności'];0
['ze', 'złego', 'stanu'];-1
['wszystkich', 'pokładanych', 'w', 'nich', 'nadziei'];0
['mojej', 'skóry'];0
['fajne'];0
['przez', 'chwilę'];0
['sporą', 'wartość', 'historyczną'];1
['rozczesywanie', 'na', 'mokro'];0
['miękkiego', 'materiału'];0
['eleganckim'];0
[','];0
['wielu', 'przydatnych', 'funkcji'];1
['królik'];0
['bywa', 'trudne', 'do', 'znalezienia', 'wśród', 'jego', 'licznych', 'kontrowersyjnych', ',', 'by', 'nie', 'powiedzieć', 'brzydkich', 'zakamarków'];-1
['w', 'błoto'];0
['ludzi', 'w', 'lokalu'];0
['bardzo'];0
['może'];0
['tego'];0
['na', 'tyle'];0
['produkowany', 'w', 'Chinach'];0
['ok', '.', '40', 'mln', 'odnosi', 'rany'];0
['luźna'];0
['.'];0
['astronomiczne'];0
['smaku'];0
['tylko', 'tam', 'jest'];0
['jakość', 'jedzenia'];0
['takie'];0
['zamek', 'jako', 'miejsce', 'do', 'zwiedzenia'];0
['po', 'oficjalnej', 'aktulaizacji', 'do', 'Anro', 'id', 'a', '7', '.', '0', 'przestał', 'działać', 'gps', ',', 'który', 'mimo', 'wszystkich', 'ustawień', 'nie', 'może', 'złapać', 'lokalizacji', ',', 'bądź', 'łapie', 'tylko', 'na', 'moment', 'i', 'się', 'zacina'];-1
['obsługi'];0
['sama'];0
[','];0
['cukierkowy', ',', 'prosiaczkowy', 'róż', 'z', 'bladymi', 'kolorami', 'sprawiają', ',', 'że', 'ten', 'biustonosz', 'wygląda', 'naprawdę', 'tandetnie', '.'];0
['aromatyczny'];0
['na', 'świecie', 'lepszej', 'wody', 'niż', 'ta'];0
['faktycznie', 'bardzo'];0
['sporym', 'oporem', 'i', 'hałasem'];0
['się'];0
['smaczne'];0
['się', 'starali', ',', 'plus', 'za', 'dobre', 'drinki', 'i', 'niezbyt', 'długi', 'czas', 'oczekiwania'];1
['perfum'];0
['dla', 'mnie'];0
['polecam', 'zamawiania', 'za', 'pobraniem'];0
['korzystnemu', 'położeniu', 'na', 'skrzyżowaniu', 'dróg'];0
['uczucie', 'świeżości', 'na', 'dłużej'];1
['po', 'prostu', 'problematyczny'];-1
['idealnie'];0
['woda', 'perfumowana', 'firmy', 'Chanel', 'coco', 'mademoiselle', 'jest', 'produktem', 'godnym', 'polecenia', '.'];0
['tata', 'ukrywał', 'się', 'na', 'Żoliborzu', 'u', 'Zosi', ',', 'mojej', 'przyszłej', 'wspaniałej', 'macochy', ',', 'jako', 'Pan', 'nikt', '.'];0
[',', 'którym', 'jest', 'wyszyty', 'jest', 'przepiękny', 'i', 'na', 'pewno', 'jak', 'zobaczyła', 'by', 'm', 'go', 'w', 'sklepie', 'kupiła', 'by', 'm', 'sobie'];1
['chyba', 'nikt', 'im', 'nie', 'powiedział', ',', 'że', 'są', 'tu', 'dla', 'gości', 'a', 'nie', 'goście', 'dla', 'nich'];0
['przereklamowany', 'zapach'];-1
['niesamowite'];1
['ładny', 'i', 'długo', 'utrzymujący', 'się', 'na', 'ubraniach', 'i', 'ciele', 'zapach'];1
['klimat'];0
['jednego', 'opakowania'];0
['czasu'];0
[',', 'bo', 'przez', 'całe', 'trzy', 'godziny', 'jazdy', 'dmuchała', 'na', 'mnie', 'zimna', 'klimatyzacja', 'której', 'nie', 'mogła', 'm', 'regulować', 'i', 'okropnie', 'się', 'przeziębiła', 'm'];-1
['wyjechać', 'bo', 'nie', 'ma', 'zasięgu'];0
['niestety', 'niezbyt', 'świeże'];-1
['tadżin'];0
['ozdobną', 'tasiemką'];0
['druga', 'kobieta'];0
['bardzo', 'wygodny'];1
['charakteru'];0
['za', 'zapach'];0
['jak'];0
[','];0
['okazał', 'się', 'w', 'porządku', ','];1
['neapolitańska', 'policja'];0
['co'];0
['początek', 'był', 'ok', '.', ',', 'ale', 'później', 'tylko', 'coraz', 'gorzej', ',', 'słabe', 'żarty', 'jak', 'na', 'komedię', ',', 'fabuła', 'delikatnie', 'mówiąc', 'dno', ',', 'nie', 'poleciła', 'by', 'm', '.'];-1
['W', 'pierwszym', 'kontakcie'];0
['('];0
['bardzo'];0
['okazale'];0
['niedzieli', 'palmowej'];0
['przez', 'lekarzy', 'pogotowia'];0
['dlatego'];0
['dla', 'naszej', 'cery'];0
['się'];0
['jedzenie', 'średnie', ',', 'ryba', 'i', 'mięso', 'w', 'porządku'];0
['szkoda', ',', 'bo', 'wystrój', 'bardzo', 'fajny'];0
['może'];0
['świetnie', 'nadaje', 'się', 'pod', 'koszulę', 'nocną', '.'];0
['już', '3', 'raz'];0
['dodatkowych', 'wymogów'];0
['tego', 'ukrywać'];0
['.'];0
['nieprzyjemny'];0
['idealny', 'na', 'lato', ',', 'można', 'iść', 'na', 'dyskotekę', 'w', 'koszulce', 'pod', 'którą', 'widać', 'stanik', 'jako', 'główną', 'atrakcję', '.'];1
['przy', 'pierwszej', 'wizycie', 'o', 'ile', 'jedzenie', 'całkiem', 'smakowało', 'i', 'wyglądało', '(', 'jedli', 'śmy', 'kaczkę', 'oraz', 'baraninę', ')', ',', 'to', 'za', 'drugim', 'podejściem', 'zaliczyli', 'śmy', 'totalną', 'porażkę', ',', 'zaczynając', 'od', 'obsługi', 'a', 'kończąc', 'na', 'zamówieniu', '.'];0
['rewelacyjna'];1
"['mi', '.', '.', '.', '.', ';']";0
['rozmiar'];0
['muszę', 'przyznać', ',', 'że', 'ma', 'bardzo', 'fajny', 'zapach', ',', 'który', 'długo', 'się', 'utrzymuje', '.'];0
[','];0
['wkręcają', 'się', 'włosy', 'w', 'prowadnice', 'szczotki', '(', 'nieprzemyślana', 'konstrukcja', ')'];-1
['nie'];0
[','];0
['-'];0
['pięterku'];0
['mężczyzn'];0
['specyficzne', ',', 'słodkie', ',', 'jak', 'dla', 'mnie', 'za', 'mocno', 'plastikowe', '-', 'jakby', 'm', 'naprawdę', 'czuła', 'takie', 'sztuczne', ',', 'plastikowe', 'słodycze'];-1
[','];0
['nie', 'zasugerowała', 'm', 'się', 'negatywnymi', 'opiniami', 'i', 'postanowiła', 'm', 'wyrobić', 'swoją', 'własną', ',', 'bo', 'marka', 'jest', 'bardzo', 'w', 'porządku'];1
['.'];0
['okropnego', 'uczulenia'];-1
['raczej', 'nie', 'chciała', 'm', 'odłożyć', 'książki'];0
['duże'];0
[','];0
['.'];0
['tego', 'zacnego', 'przybytku'];1
[','];0
[')'];0
['zaszokowani'];-1
['.'];0
[','];0
['pewnej'];0
['możliwa'];0
['wyjątkowego'];0
[','];0
['jest', 'piękny'];1
['może'];0
['oryginalne'];0
['obsługi'];0
['dotyki'];0
['idealnie', 'nadają', 'się', 'na', 'prezent', 'dla', 'każdej', ',', 'nawet', 'najbardziej', 'wymagającej', 'kobiety', '.'];0
['umówiony'];0
[',', 'który', 'ma', 'zarówno', 'tak', 'wiele', 'zwolenniczek', ',', 'jak', 'i', 'przeciwniczek'];0
['według', 'mnie'];0
['ma', 'bardzo', 'ładne', 'kolory', '-', 'odcienie', 'wiśni', 'i', 'pudrowego', 'różu', '.'];0
['drugim', 'minusem'];-1
['niesamowicie'];1
[',', 'co', 'wydaje', 'mi', 'się', 'dziwne', ','];0
['nie', 'rozwija', 'się', 'na', 'mnie'];0
['totalnie'];0
['nie', 'warte', 'odwiedzin'];-1
['side', 'pamiętała', 'już', 'lepsze', 'czasy', ',', 'co', 'miało', 'odzwierciedlenie', 'w', 'smaku'];-1
['lecz', 'jak', 'dla', 'mnie', 'to', 'jest', 'ciężkim', 'rywalem', 'dla', 'innych', 'perfum', '.'];0
['obawiam', 'się', ',', 'że', 'będzie', 'szybko', 'ulatywał'];-1
['gwarancję', 'rozwoju', 'rożnych', 'drobnoustrojów', 'w', 'środku', 'co'];0
['-', 'zwłaszcza', 'jeśli', 'chodzi', 'o', 'rozczesywanie', 'na', 'mokro'];0
['jego'];0
"['niestety', 'nie', 'mogę', 'napisać', 'nic', 'pozytywnego', 'na', 'temat', 'oferowanych', '""', 'regionalnych', '""', 'przysmaków']";-1
['jej'];0
['u', 'mnie'];0
['niedzielę'];0
['o', 'warunki', 'sprzedaży'];0
['świeży'];0
['na', 'odesłaniu', 'pseudosklejonych', 'butów', ',', 'które', 'w', 'sklepie', 'rozwaliły', 'się', 'tak', 'samo', 'jak', 'przed', 'pseudonaprawą'];-1
['wypuści', 'jakieś', 'fajne', 'kolorki', 'na', 'lato', 'z', 'tego', 'modelu', 'no', 'i', 'o', 'dużej', 'miseczce'];1
[','];0
[','];0
['mnie'];0
['bardzo'];0
['stworzenie', 'odświeżacza', 'o', 'podobnym', 'zapachu'];0
['ujemny'];0
['zimę'];0
['!'];0
[','];0
['”'];0
['ogóle'];0
['nie', 'zauwazylam'];0
['poczuć', 'się', 'wyjątkowo'];1
['próbki'];0
[','];0
['soki', 'z', 'tej', 'nowej', 'serii', 'są', 'beznadziejne'];-1
['radosnym'];1
['niezbyt'];0
['nie'];0
['dostała', 'm', 'ją', 'od', 'przyjaciółki', 'w', 'prezencie', 'na', 'osiemnastkę'];0
['nowy', 'wygląd', 'serwisu', 'transakcyjnego', 'to', 'jakaś', 'niedoróba', '.'];0
['katastrofy'];0
['ten', 'aparat'];0
['domowe'];0
[','];0
['sobie'];0
[','];0
[',', 'słabe', 'żarty', 'jak', 'na', 'komedię', ',', 'fabuła', 'delikatnie', 'mówiąc', 'dno', ',', 'nie', 'poleciła', 'by', 'm', '.'];-1
['dresach'];0
